company_name,exchange
20 Microns Limited,NSE
21st Century Management Services Limited,NSE
360 ONE WAM LIMITED,NSE
3i Infotech Limited,NSE
3M India Limited,NSE
3P Land Holdings Limited,NSE
5Paisa Capital Limited,NSE
63 moons technologies limited,NSE
A2Z Infra Engineering Limited,NSE
AAA Technologies Limited,NSE
Aadhar Housing Finance Limited,NSE
Aakash Exploration Services Limited,NSE
Aarey Drugs & Pharmaceuticals Limited,NSE
Aaron Industries Limited,NSE
Aartech Solonics Limited,NSE
Aarti Drugs Limited,NSE
Aarti Industries Limited,NSE
Aarti Pharmalabs Limited,NSE
Aarti Surfactants Limited,NSE
Aarvi Encon Limited,NSE
Aavas Financiers Limited,NSE
Aban Offshore Limited,NSE
ABB India Limited,NSE
Abbott India Limited,NSE
Aditya Birla Capital Limited,NSE
A B Cotspin India Limited,NSE
Allied Blenders and Distillers Limited,NSE
Aditya Birla Fashion and Retail Limited,NSE
A B Infrabuild Limited,NSE
Aditya Birla Lifestyle Brands Limited,NSE
ABM International Limited,NSE
Aditya Birla Real Estate Limited,NSE
Aditya Birla Sun Life AMC Limited,NSE
ACC Limited,NSE
Accelya Solutions India Limited,NSE
Accuracy Shipping Limited,NSE
Action Construction Equipment Limited,NSE
Ace Integrated Solutions Limited,NSE
Archean Chemical Industries Limited,NSE
Andhra Cements Limited,NSE
Acme Solar Holdings Limited,NSE
Acutaas Chemicals Limited,NSE
Adani Energy Solutions Limited,NSE
Adani Enterprises Limited,NSE
Adani Green Energy Limited,NSE
Adani Ports and Special Economic Zone Limited,NSE
Adani Power Limited,NSE
ADF Foods Limited,NSE
Archidply Decor Limited,NSE
Ador Welding Limited,NSE
Adroit Infotech Limited,NSE
Allied Digital Services Limited,NSE
Advance Agrolife Limited,NSE
Advani Hotels & Resorts (India) Limited,NSE
Advent Hotels International Limited,NSE
Advanced Enzyme Technologies Limited,NSE
Aegis Logistics Limited,NSE
Aegis Vopak Terminals Limited,NSE
Aequs Limited,NSE
Aeroflex Enterprises Limited,NSE
Aeroflex Industries Limited,NSE
Aeroflex Neu Limited,NSE
Aether Industries Limited,NSE
Afcons Infrastructure Limited,NSE
Affle 3i Limited,NSE
Affordable Robotic & Automation Limited,NSE
Akme Fintrade (India) Limited,NSE
Abans Financial Services Limited,NSE
Agarwal Industrial Corporation Limited,NSE
Dr. Agarwal's Health Care Limited,NSE
AGI Greenpac Limited,NSE
Agi Infra Limited,NSE
Agri-Tech (India) Limited,NSE
Agro Phos India Limited,NSE
AGS Transact Technologies Limited,NSE
Anlon Healthcare Limited,NSE
Ahlada Engineers Limited,NSE
Asian Hotels (East) Limited,NSE
Ahluwalia Contracts (India) Limited,NSE
AIA Engineering Limited,NSE
Authum Investment & Infrastructure Limited,NSE
Airan Limited,NSE
Airo Lam limited,NSE
Ajanta Pharma Limited,NSE
Ajax Engineering Limited,NSE
Ajmera Realty & Infra India Limited,NSE
Ajooni Biotech Limited,NSE
Akash Infra-Projects Limited,NSE
Akg Exim Limited,NSE
AKI India Limited,NSE
Akshar Spintex Limited,NSE
AksharChem India Limited,NSE
Aksh Optifibre Limited,NSE
Akums Drugs and Pharmaceuticals Limited,NSE
Akzo Nobel India Limited,NSE
Alankit Limited,NSE
Albert David Limited,NSE
Alembic Limited,NSE
Algoquant Fintech Limited,NSE
Alicon Castalloy Limited,NSE
Alivus Life Sciences Limited,NSE
Alkali Metals Limited,NSE
Alkem Laboratories Limited,NSE
Alkyl Amines Chemicals Limited,NSE
Allcargo Logistics Limited,NSE
Alldigi Tech Limited,NSE
All Time Plastics Limited,NSE
Almondz Global Securities Limited,NSE
Alok Industries Limited,NSE
Alpa Laboratories Limited,NSE
Alphageo (India) Limited,NSE
Amanta Healthcare Limited,NSE
Amber Enterprises India Limited,NSE
Ambica Agarbathies & Aroma industries Limited,NSE
Ambika Cotton Mills Limited,NSE
Ambuja Cements Limited,NSE
AMD Industries Limited,NSE
Amj Land Holdings Limited,NSE
Amines & Plasticizers Limited,NSE
Amrutanjan Health Care Limited,NSE
Anand Rathi Wealth Limited,NSE
Anant Raj Limited,NSE
ANDHRA PAPER LIMITED,NSE
The Andhra Sugars Limited,NSE
Angel One Limited,NSE
Anik Industries Limited,NSE
Ankit Metal & Power Limited,NSE
Anmol India Limited,NSE
Ansal Properties & Infrastructure Limited,NSE
Antelopus Selan Energy Limited,NSE
Antarctica Limited,NSE
Anthem Biosciences Limited,NSE
Anuh Pharma Limited,NSE
The Anup Engineering Limited,NSE
Anupam Rasayan India Limited,NSE
Apar Industries Limited,NSE
Anjani Portland Cement Limited,NSE
Apcotex Industries Limited,NSE
